Unique_ID,Length,Title,URL
41,1:26,AWS Directory Service for Microsoft Active Directory Now Supports Additional Domain Controllers,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
42,1:22,Introducing Amazon Connect Dashboard - Monitoring Contact Center Performance on AWS,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
43,1:43,Auto Scaling for Amazon DynamoDB,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
44,2:05,Introducing Amazon Simple Queue Service (SQS) FIFO Queues   Messaging on AWS,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
45,1:53,AWS Pinpoint SMS and Email Campaigns Support,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
46,1:35,Introducing AWS Identity and Access Management (IAM) Policy Summaries,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
47,1:36,Introducing Amazon Simple Queue Service (SQS) Server-side Encryption   Messaging on AWS,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
48,1:19,New AWS Directory Service for Microsoft Active Directory support for SharePoint & SQL Server,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
49,1:45,Run More Types of .NET Workloads Using AWS Directory Service for Microsoft Active Directory,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
50,1:47,Amazon Lex Now Generally Available,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
51,1:13,Announcing Amazon DynamoDB Accelerator (DAX),https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
52,2:14,Amazon EC2 F1 Instances with Customizable FPGAs for Hardware Acceleration,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
53,2:01,Announcing AWS X-Ray,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
54,2:12,"Amazon Polly Adds New Whispered Voice Tag, and Speech Marks for Synchronization w/Visual Animation",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
55,1:39,Amazon Launch Update: Amazon Rekognition,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
56,1:29,Amazon Athena Adds Support for Querying Encrypted Data in Amazon S3,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
57,2:19,Introducing Amazon Connect,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
58,1:48,MXNet Joins Apache Incubator,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
59,1:32,Amazon Elastic Block Store (EBS) Elastic Volumes,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
60,1:53,Elasticsearch 5 Now Available on Amazon Elasticsearch Service,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
61,1:03,Introducing Amazon AppStream 2.0,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
62,1:16,Introducing AWS Organizations,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
63,1:02,Amazon Aurora Now Supports T2.Medium Instances,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
64,1:00,Using Amazon S3 for Apache HBase on Amazon EMR,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
65,1:07,Amazon WorkSpaces - Web Access,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
66,0:58,Amazon QuickSight Now Generally Available,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
67,1:01,Amazon Aurora   AWS Lambda Integration,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
68,1:01,Amazon ElastiCache | Redis Cluster Support,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
69,1:04,AWS Application Load Balancer,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
70,1:13,Amazon Kinesis Analytics - General Availability,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
71,0:46,Internet Protocol Version 6 (IPv6) Support for Amazon S3,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
72,1:01,AWS Snowball - New Features,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
73,0:59,Amazon Elastic Block Storage (EBS) IOPS:GB Ratio Change,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
74,0:50,Amazon API Gateway Usage Plans,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
75,1:11,AWS Key Management Service - Import Key,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
76,0:59,Amazon EC2 Container Service - Dynamic Port Mapping,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
77,0:59,Support for Amazon Elasticsearch version 2.3,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
78,1:25,Introducing Amazon Elastic File System,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
79,1:16,Amazon Elastic File System,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
80,1:15,Converting Oracle DW and Teradata Schemas to Amazon Redshift,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
81,1:10,Auto Scaling | Lifecycle Hooks Made Easier,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
82,1:02,Amazon API Gateway | Support for Importing Swagger Definitions,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
83,1:01,AWS Web Application Firewall | Support for Cross-Site Scripting Match Conditioning,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
84,1:26,Amazon CloudWatch Events,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
85,0:57,Easy Machine Learning with Amazon ML and Redshift,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
86,1:02,Introducing Amazon Inspector,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
87,0:56,Amazon Kinesis Firehose | Load Data into Amazon Elasticsearch Domains,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
88,1:06,Amazon S3 | Transfer Acceleration,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
89,0:44,AWS Snowball | 80TB Snowball Device,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
90,1:03,AWS Elastic Beanstalk | Managed Platform Updates,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
91,1:03,How To: Set Up Amazon S3 Lifecycle Policies,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
92,1:25,Introducing New Amazon S3 Lifecycle Policies,https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
